timestamp,sensor_id,roll,pitch,yaw
2025-07-14T17:34:35.028440,2,0.21,-0.05,-6.77
2025-07-14T17:34:35.045868,4,-0.0,0.05,-0.04
2025-07-14T17:34:35.046470,6,0.0,0.0,-6.75
2025-07-14T17:34:35.064596,2,0.21,-0.06,-6.77
2025-07-14T17:34:35.065189,4,-0.01,0.05,-0.04
2025-07-14T17:34:35.086161,6,0.0,0.0,-6.76
2025-07-14T17:34:35.086618,2,0.23,-0.06,-6.77
2025-07-14T17:34:35.108254,4,0.0,0.03,-0.03
2025-07-14T17:34:35.108529,6,0.0,-0.01,-6.76
2025-07-14T17:34:35.127332,2,0.23,-0.06,-6.77
2025-07-14T17:34:35.128013,4,0.01,0.05,-0.03
2025-07-14T17:34:35.128618,6,0.0,0.01,-6.76
2025-07-14T17:34:35.150505,2,0.23,-0.07,-6.76
2025-07-14T17:34:35.150776,4,-0.0,0.03,-0.03
2025-07-14T17:34:35.168679,6,-0.01,0.0,-6.76
2025-07-14T17:34:35.169023,2,0.23,-0.06,-6.77
2025-07-14T17:34:35.185053,4,0.0,0.02,-0.03
2025-07-14T17:34:35.185333,6,-0.0,0.01,-6.76
2025-07-14T17:34:35.202988,2,0.24,-0.06,-6.77
2025-07-14T17:34:35.203239,4,0.01,0.03,-0.03
2025-07-14T17:34:35.218663,6,-0.02,0.0,-6.76
2025-07-14T17:34:35.237139,2,0.25,-0.08,-6.77
2025-07-14T17:34:35.237427,4,0.01,0.03,-0.03
2025-07-14T17:34:35.237659,6,-0.01,-0.01,-6.77
2025-07-14T17:34:35.253041,2,0.24,-0.06,-6.77
2025-07-14T17:34:35.268643,4,-0.0,0.03,-0.03
2025-07-14T17:34:35.268912,6,0.0,-0.0,-6.76
2025-07-14T17:34:35.284421,2,0.24,-0.06,-6.77
2025-07-14T17:34:35.301479,4,0.01,0.04,-0.04
2025-07-14T17:34:35.301864,6,-0.01,-0.01,-6.77
2025-07-14T17:34:35.319640,2,0.23,-0.06,-6.77
2025-07-14T17:34:35.319962,4,0.01,0.02,-0.04
2025-07-14T17:34:35.320270,6,-0.01,-0.01,-6.77
2025-07-14T17:34:35.339119,2,0.24,-0.07,-6.77
2025-07-14T17:34:35.356798,4,0.01,0.03,-0.04
2025-07-14T17:34:35.357144,6,-0.01,-0.0,-6.76
2025-07-14T17:34:35.375071,2,0.25,-0.05,-6.77
2025-07-14T17:34:35.375332,4,0.0,0.03,-0.04
2025-07-14T17:34:35.394679,6,-0.01,-0.02,-6.77
2025-07-14T17:34:35.395002,2,0.23,-0.05,-6.76
2025-07-14T17:34:35.412634,4,-0.0,0.05,-0.03
2025-07-14T17:34:35.413425,6,-0.01,-0.01,-6.77
2025-07-14T17:34:35.433717,2,0.22,-0.05,-6.76
2025-07-14T17:34:35.433970,4,0.01,0.01,-0.03
2025-07-14T17:34:35.434203,6,-0.01,-0.01,-6.77
2025-07-14T17:34:35.452187,2,0.23,-0.05,-6.76
2025-07-14T17:34:35.468924,4,0.01,0.02,-0.03
2025-07-14T17:34:35.469330,6,-0.02,-0.02,-6.77
2025-07-14T17:34:35.486927,2,0.24,-0.05,-6.77
2025-07-14T17:34:35.487223,4,0.01,0.03,-0.03
2025-07-14T17:34:35.504803,6,-0.01,-0.0,-6.77
2025-07-14T17:34:35.523116,2,0.23,-0.05,-6.77
2025-07-14T17:34:35.523359,4,0.01,0.03,-0.03
2025-07-14T17:34:35.523603,6,-0.0,0.0,-6.77
2025-07-14T17:34:35.539961,2,0.24,-0.03,-6.78
2025-07-14T17:34:35.540717,4,0.01,0.03,-0.02
2025-07-14T17:34:35.562361,6,-0.01,-0.01,-6.77
