timestamp,sensor_id,roll,pitch,yaw
2025-07-14T18:51:52.242310,2,-1.12,1.45,1.05
2025-07-14T18:51:52.242344,2,-1.13,1.44,1.05
2025-07-14T18:51:52.242358,4,-3.3,4.36,-32.67
2025-07-14T18:51:52.267843,2,-1.16,1.48,1.05
2025-07-14T18:51:52.271035,4,-3.31,4.38,-32.78
2025-07-14T18:51:52.271052,6,0.49,-0.91,0.07
2025-07-14T18:51:53.001804,6,0.48,-0.91,0.06
2025-07-14T18:51:53.001860,2,-1.17,1.48,1.02
2025-07-14T18:51:53.001891,6,0.49,-0.92,0.06
2025-07-14T18:51:53.001919,2,-1.16,1.48,1.02
2025-07-14T18:51:53.001945,6,0.49,-0.93,0.06
2025-07-14T18:51:53.001971,2,-1.16,1.49,1.03
2025-07-14T18:51:53.001997,4,-3.3,4.38,-32.89
2025-07-14T18:51:53.002025,6,0.5,-0.92,0.07
2025-07-14T18:51:53.080423,2,-1.18,1.49,1.03
2025-07-14T18:51:53.080478,4,-3.31,4.37,-32.89
2025-07-14T18:51:53.080511,6,0.49,-0.93,0.07
2025-07-14T18:51:53.080540,2,-1.17,1.48,1.03
2025-07-14T18:51:53.344824,4,-3.34,4.39,-33.01
2025-07-14T18:51:53.344887,6,0.49,-0.96,0.09
2025-07-14T18:51:53.344921,2,-1.19,1.52,1.03
2025-07-14T18:51:53.344952,4,-3.34,4.4,-33.04
2025-07-14T18:51:53.344981,2,-1.19,1.51,1.03
2025-07-14T18:51:53.345008,2,-1.19,1.53,1.05
2025-07-14T18:51:53.345039,6,0.5,-0.98,0.1
2025-07-14T18:51:53.345069,2,-1.2,1.54,1.05
2025-07-14T18:51:53.348191,4,-3.34,4.39,-33.1
2025-07-14T18:51:53.351462,6,0.5,-0.97,0.1
2025-07-14T18:51:54.529744,2,-1.18,1.52,1.06
2025-07-14T18:51:54.529803,6,0.5,-0.97,0.09
2025-07-14T18:51:54.529840,2,-1.19,1.53,1.06
2025-07-14T18:51:54.533242,4,-3.34,4.39,-33.11
2025-07-14T18:51:54.536610,6,0.49,-0.96,0.1
2025-07-14T18:51:54.536675,2,-1.19,1.53,1.06
2025-07-14T18:51:54.536707,4,-3.35,4.4,-33.12
2025-07-14T18:51:54.539674,6,0.5,-0.99,0.1
2025-07-14T18:51:54.539709,2,-1.2,1.53,1.06
2025-07-14T18:51:54.542987,2,-1.2,1.53,1.06
2025-07-14T18:51:54.543015,4,-3.35,4.41,-33.15
2025-07-14T18:51:54.543039,6,0.49,-0.97,0.09
2025-07-14T18:51:54.546211,2,-1.21,1.53,1.05
2025-07-14T18:51:54.546251,4,-3.35,4.42,-33.17
2025-07-14T18:51:55.624441,6,0.51,-0.97,0.1
2025-07-14T18:51:55.624501,2,-1.22,1.53,1.05
2025-07-14T18:51:55.624536,4,-3.39,4.43,-33.25
2025-07-14T18:51:55.624606,6,0.5,-0.98,0.1
2025-07-14T18:51:55.624663,2,-1.22,1.54,1.04
2025-07-14T18:51:55.624703,2,-1.22,1.54,1.05
2025-07-14T18:51:55.624744,2,-1.22,1.55,1.04
2025-07-14T18:51:55.624782,4,-3.36,4.42,-33.29
2025-07-14T18:51:55.624813,6,0.51,-0.99,0.09
2025-07-14T18:51:55.624844,2,-1.22,1.55,1.05
2025-07-14T18:51:55.624875,4,-3.37,4.44,-33.3
2025-07-14T18:51:55.624906,6,0.51,-0.98,0.09
2025-07-14T18:51:55.624936,2,-1.22,1.55,1.05
2025-07-14T18:51:55.624965,6,0.5,-0.97,0.09
2025-07-14T18:51:55.624998,2,-1.22,1.55,1.05
2025-07-14T18:51:55.625062,6,0.49,-0.98,0.09
2025-07-14T18:51:55.625094,2,-1.22,1.56,1.04
2025-07-14T18:51:55.625124,6,0.49,-0.99,0.09
2025-07-14T18:51:55.628356,2,-1.23,1.57,1.05
2025-07-14T18:51:55.628415,4,-3.38,4.44,-33.39
2025-07-14T18:51:55.628447,6,0.5,-0.99,0.09
2025-07-14T18:51:55.631640,6,0.5,-0.98,0.09
2025-07-14T18:51:55.631694,6,0.5,-0.97,0.09
